URL	chrom://farber-hplc/test001/Josh/Standards/1.9.24 Algorithm Rerun w different gradient Rep 2.seq/711.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.9.24 Algorithm Rerun w different gradient Rep 2
Name	0.5:1:0.5
Number	10
Position	RB2
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/9/2024 9:51:21 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000083
Data Points	38603
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.471662
Signal Max.	104.474600
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103116

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.010214
0.001650	0.099	-0.012881
0.003333	0.101	-0.003472
0.004983	0.099	0.005573
0.006650	0.1	0.003515
0.008317	0.1	0.002555
0.009983	0.1	0.009240
0.011650	0.1	0.000319
0.013317	0.1	-0.037321
0.014983	0.1	-0.081246
0.016650	0.1	-0.100342
0.018317	0.1	-0.089830
0.020000	0.101	-0.060241
0.021650	0.099	-0.036842
0.023317	0.1	-0.037307
0.024983	0.1	-0.053596
0.026650	0.1	-0.064171
0.028317	0.1	-0.064479
0.029983	0.1	-0.060201
0.031650	0.1	-0.055471
0.033650	0.12	-0.050557
0.035317	0.1	-0.044024
0.037017	0.102	-0.038031
0.038650	0.098	-0.034231
0.040317	0.1	-0.030535
0.041983	0.1	-0.025494
0.043650	0.1	-0.026499
0.045317	0.1	-0.037265
0.046983	0.1	-0.047647
0.048650	0.1	-0.053435
0.050317	0.1	-0.056797
0.051983	0.1	-0.054467
0.053650	0.1	-0.051899
0.055317	0.1	-0.046622
0.056983	0.1	-0.034286
0.058650	0.1	-0.014382
0.060317	0.1	0.006625
0.061983	0.1	0.011807
