Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.007800
0.001667	0.1	-0.004537
0.003333	0.1	-0.034921
0.005000	0.1	-0.078859
0.006667	0.1	-0.120995
0.008333	0.1	-0.142368
0.010000	0.1	-0.134611
0.011667	0.1	-0.111591
0.013333	0.1	-0.082190
0.015000	0.1	-0.051866
0.016667	0.1	-0.021594
0.018333	0.1	0.000157
0.020000	0.1	0.008436
0.021667	0.1	0.011576
0.023333	0.1	0.022580
0.025000	0.1	0.033228
0.026667	0.1	0.029491
0.028367	0.102	0.014912
0.030033	0.1	0.003417
0.031700	0.1	-0.006610
0.033750	0.123	-0.029540
0.035383	0.098	-0.059502
0.037033	0.099	-0.092828
0.038700	0.1	-0.118569
0.040367	0.1	-0.126025
0.042033	0.1	-0.116250
0.043700	0.1	-0.090846
0.045367	0.1	-0.057114
0.047033	0.1	-0.037898
0.048700	0.1	-0.048639
0.050400	0.102	-0.071120
0.052033	0.098	-0.075915
0.053700	0.1	-0.056999
0.055367	0.1	-0.024255
0.057033	0.1	0.006529
0.058700	0.1	0.021152
0.060367	0.1	0.011019
0.062033	0.1	-0.007745
0.063700	0.1	-0.018630
0.065367	0.1	-0.019653
0.067367	0.12	-0.013919
0.069033	0.1	-0.011422
0.070700	0.1	-0.019078
0.072367	0.1	-0.036365
0.074033	0.1	-0.048053
0.075733	0.102	-0.048076
0.077367	0.098	-0.037716
0.079017	0.099	-0.019221
0.080683	0.1	-0.014894
0.082350	0.1	-0.040747
0.084017	0.1	-0.070010
0.085683	0.1	-0.083046
0.087350	0.1	-0.103873
0.089017	0.1	-0.136584
0.090683	0.1	-0.162144
0.092350	0.1	-0.169636
0.094017	0.1	-0.171286
0.095667	0.099	-0.179024
0.097333	0.1	-0.173887
0.099000	0.1	-0.138472
0.101083	0.125	-0.082713
0.102750	0.1	-0.028444
0.104417	0.1	0.006550
0.106083	0.1	0.012866
0.107750	0.1	-0.010063
0.109417	0.1	-0.074718
0.111117	0.102	-0.146073
0.112783	0.1	-0.168626
0.114450	0.1	-0.149403
0.116117	0.1	-0.133927
0.117800	0.101	-0.139134
0.119450	0.099	-0.136983
0.121117	0.1	-0.119498
0.122783	0.1	-0.100700
0.124450	0.1	-0.097883
0.126117	0.1	-0.112374
0.127783	0.1	-0.117615
0.129450	0.1	-0.096614
0.131117	0.1	-0.058133
0.132783	0.1	-0.035976
0.134783	0.12	-0.037974
0.136483	0.102	-0.042510
0.138117	0.098	-0.043751
0.139783	0.1	-0.040906
0.141450	0.1	-0.022975
0.143117	0.1	0.000135
0.144783	0.1	0.012460
0.146450	0.1	0.002711
0.148117	0.1	-0.019538
